,source,text
1155,mobile (25),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1156,excluding (24),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1157,plans (50),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1158,Entertainment (30),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1159,second-largest (16),"A big moment for the Internet: The Internet is poised to overtake newspapers as the second-largest U.S. advertising medium by revenue behind television, according to PricewaterhouseCoopers Global Entertainment and Media Outlook for 2010 to 2014.The online ad business, excluding mobile ads, is set to expand to $34.4 billion in 2014 from $24.2 billion in 2009, according to the report, which PwC plans to release Tuesday."
1160,freedom (9),"Ah, yes, the freedom, the wonderful freedom, minus the impediments of intrusive government."
1161,intrusive (15),"Ah, yes, the freedom, the wonderful freedom, minus the impediments of intrusive government."
1162,impediments (13),"Ah, yes, the freedom, the wonderful freedom, minus the impediments of intrusive government."
1163,wonderful (8),"Ah, yes, the freedom, the wonderful freedom, minus the impediments of intrusive government."
1164,stockpiling (31),"After overthrowing King Idris in 1969, Muammar el-Qaddafi, a young army officer, used his nation's oil revenue to underwrite a decades long arms-purchasing spree, stockpiling weapons from the West but principally from Russia, China and the Eastern bloc."
1165,long (27),"After overthrowing King Idris in 1969, Muammar el-Qaddafi, a young army officer, used his nation's oil revenue to underwrite a decades long arms-purchasing spree, stockpiling weapons from the West but principally from Russia, China and the Eastern bloc."
1166,underwrite (23),"After overthrowing King Idris in 1969, Muammar el-Qaddafi, a young army officer, used his nation's oil revenue to underwrite a decades long arms-purchasing spree, stockpiling weapons from the West but principally from Russia, China and the Eastern bloc."
1167,young (11),"After overthrowing King Idris in 1969, Muammar el-Qaddafi, a young army officer, used his nation's oil revenue to underwrite a decades long arms-purchasing spree, stockpiling weapons from the West but principally from Russia, China and the Eastern bloc."
1168,used (15),"After overthrowing King Idris in 1969, Muammar el-Qaddafi, a young army officer, used his nation's oil revenue to underwrite a decades long arms-purchasing spree, stockpiling weapons from the West but principally from Russia, China and the Eastern bloc."
